urls,content,300DaysOfData
/feed/update/urn:li:activity:6864461297824612352/,"🔊 Hello everyone! Finally, I have completed my journey of #300DaysOfData! I am grateful for your                    support and appreciation along the way. I have learned a lot and I do strongly believe that you have                    also learned a lot so far.✨ Here are the stories of my journey : 💡 GitHub :                    https://lnkd.in/dTTVjw4B💡 Blog : https://lnkd.in/dHccqWXk✨ I want to continue my                    learning journey with the simple guidelines mentioned in the Snapshot below. I will be happy to hear                    your feedback and recommendations. Let's keep learning                    !!#machinelearning #datascience #deeplearning #300DaysOfData #learning #github #linkedinfam #66DaysOfData",True
/feed/update/urn:li:activity:6864461252442247168/,"🏆 Day 300 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I                    have read and implemented from the book ""Deep Learning for Coders with Fastai and PyTorch"". Here, I                    have read about Transformers Model, Data Loaders, Batch Size and Sequence Length, Language Model,                    Fine Tuning GPT2 Model, Callback, Learner, Perplexity and Cross Entropy Loss Function, Learner Rate                    Finder, Training and Generating Predictions and few more topics related to the same from here.                    📗 Notebook:🔰 Transformers : https://lnkd.in/gqpVea3s📈 I have presented                    the implementation of Initializing DataLoaders, Fine Tuning GPT2Model and LR Finder using Fastai and                    PyTorch here in the snapshot. I hope you will gain some insights and work on the same. I hope you                    will also spend some time learning the topics from the Book mentioned below. Excited about the days                    ahead !!📚 Deep Learning for Coders with Fastai and PyTorch📒 Journey on Machine                    Learning and Deep Learning : https://lnkd.in/d-aDKvq📒 Fastai                    : https://lnkd.in/dfDtfjs#66DaysOfData #machinelearning #deeplearning #fastai #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python",True
/feed/update/urn:li:activity:6864090914562953217/,"🏆 Day 299 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I                    have read and implemented from the book ""Deep Learning for Coders with Fastai and PyTorch"". Here, I                    have read about Transformers Model, GPT2 Pretrained Model and Tokenizer, Encodes and Decodes                    Methods, Preparing Dataset, Transform Method, Data Loaders and few more topics related to the same                    from here. 📗 Notebook:🔰 Transformers : https://lnkd.in/gqpVea3s📈 I have                    presented the implementation of Pretrained GPT2 Model and Tokenizer and Transformed DataLoaders                    using Fastai and PyTorch here in the snapshot. I hope you will gain some insights and work on the                    same. I hope you will also spend some time learning the topics from the Book mentioned below.                    Excited about the days ahead !!📚 Deep Learning for Coders with Fastai and PyTorch📒                    Journey on Machine Learning and Deep Learning : https://lnkd.in/d-aDKvq📒 Fastai                    : https://lnkd.in/dfDtfjs🖋📋 Notes : Finally, we are at final days of our journey.                    I will wrap up everything tomorrow with our achievements and new ways to start our next journey. I                    will be more than happy to hear your feedback and recommendations. One important point about our                    journey in past was about                    Production.#66DaysOfData #machinelearning #deeplearning #fastai #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python",True
/feed/update/urn:li:activity:6863081298408312832/,"🏆 Day 298 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I                    have read and implemented from PyImageSearch Blogs. Here, I have read about Convolutional Neural                    Networks, Adam Optimization Function, Compiling and Training Strided Net Model, Data Augmentation                    and Image Data Generator, Classification Report, Plotting Training Loss and Accuracy, Overfitting                    and Generalization and few more topics related to the same from here. 📗 Notebook:🔰                    Convolutional Layer: https://lnkd.in/dvwsgmEn📈 I have presented the implementation of                    Compiling and Training Model, Classification Report, Training Loss and Accuracy here in the                    snapshot. I hope you will gain some insights and work on the same. I hope you will also spend some                    time learning the topics from the Book mentioned below. Excited about the days ahead !!💻                    PyImageSearch : https://lnkd.in/dXTR8cMZ📚 Machine Learning Engineering for Production                    : https://lnkd.in/dpads35s📒 Journey on Machine Learning and Deep Learning                    : https://lnkd.in/d-aDKvq#66DaysOfData #machinelearning #deeplearning #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python #PyImageSearch",True
/feed/update/urn:li:activity:6862237220384870400/,"🏆 Day 297 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I                    have read and implemented from PyImageSearch Blogs. Here, I have read about CNN Architecture,                    Strided Net, Label Binarizer and One Hot Encoding, Image Data Generator and Data Augmentation,                    Loading and Resizing Images and few more topics related to the same from here. 📗                    Notebook:🔰 Convolutional Layer: https://lnkd.in/dvwsgmEn📈 I have presented the                    implementation of Label Binarizer and Preparing Dataset here in the snapshot. I hope you will gain                    some insights and work on the same. I hope you will also spend some time learning the topics from                    the Book mentioned below. Excited about the days ahead !!💻 PyImageSearch                    : https://lnkd.in/dXTR8cMZ📚 Machine Learning Engineering for Production                    : https://lnkd.in/dpads35s📒 Journey on Machine Learning and Deep Learning                    : https://lnkd.in/d-aDKvq#66DaysOfData #machinelearning #deeplearning #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python #PyImageSearch",True
/feed/update/urn:li:activity:6861239719238361088/,"🏆 Day 296 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I                    have read and implemented from PyImageSearch Blogs. Here, I have read about Convolutional Layers,                    Filters and Kernel Size, Strides, Padding, Input Data Format, Dilation Rate, Activation Function,                    Weights and Biases, Kernel and Bias Initializer and Regularizer, Generalization and Overfitting,                    Kernel and Bias Constraint, Caltech Dataset, Strided Net and few more topics related to the same                    from here. 📗 Notebook:🔰 Convolutional Layer: https://lnkd.in/dvwsgmEn📈 I                    have presented the implementation of Strided Net here in the snapshot. I hope you will gain some                    insights and work on the same. I hope you will also spend some time learning the topics from the                    Book mentioned below. Excited about the days ahead !!💻 PyImageSearch                    : https://lnkd.in/dXTR8cMZ📚 Machine Learning Engineering for Production                    : https://lnkd.in/dpads35s📒 Journey on Machine Learning and Deep Learning                    : https://lnkd.in/d-aDKvq#66DaysOfData #machinelearning #deeplearning #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python #PyImageSearch",True
/feed/update/urn:li:activity:6860153555639115776/,"🏆 Day 295 of #300DaysOfData!✨ Histogram Matching:Histogram Matching can be                    used as a normalization technique in an image processing pipeline as a form of color correction and                    color matching which allows to obtain a consistent, normalized representation of images even if                    lighting conditions change.🎯 On my Journey of Machine Learning and Deep Learning, I have                    read and implemented from PyImageSearch Blogs. Here, I have read about Convolutional Neural                    Networks, Convolutional Matrix, Kernels, Spatial Dimensions, Padding, ROI of Image, Elementwise                    Multiplication and Addition, Rescaling Intensity, Laplacian Kernel, Detecting Blur and Smoothing and                    few more topics related to the same from here. 📗 Notebook:🔰                    Convolution: https://lnkd.in/dUAA-T3w📈 I have presented the implementation of                    Convolution Method and Constructing Kernels here in the snapshot. I hope you will gain some insights                    and work on the same. I hope you will also spend some time learning the topics from the Book                    mentioned below. Excited about the days ahead !!💻 PyImageSearch                    : https://lnkd.in/dXTR8cMZ📚 Machine Learning Engineering for Production                    : https://lnkd.in/dpads35s📒 Journey on Machine Learning and Deep Learning                    : https://lnkd.in/d-aDKvq#66DaysOfData #machinelearning #deeplearning #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python #PyImageSearch",True
/feed/update/urn:li:activity:6859437835355742208/,"🏆 Day 294 of #300DaysOfData!✨ Histogram Matching: Histogram Matching can be                    used as a normalization technique in an image processing pipeline as a form of color correction and                    color matching which allows to obtain a consistent, normalized representation of images even if                    lighting conditions change.🎯 On my Journey of Machine Learning and Deep Learning, I have                    read and implemented from PyImageSearch Blogs. Here, I have read about OpenCV, Color Detection, RGB                    Colorspace, Histogram Matching, Pixel Distribution, Cumulative Distribution, Resizing Image and few                    more topics related to the same from here. I have also read about Skewed Datasets, Performance                    Auditing, Data Centric AI Development and Data Augmentation from Machine Learning Engineering for                    Production Specialization of Coursera.📗 Notebook:🔰OpenCV                    : https://lnkd.in/d2VDFjBu📈 I have presented the implementation of OpenCV in Histogram                    Matching here in the snapshot. I hope you will gain some insights and work on the same. I hope you                    will also spend some time learning the topics from the Book mentioned below. Excited about the days                    ahead !!💻 PyImageSearch : https://lnkd.in/dXTR8cMZ📚 Machine Learning Engineering                    for Production : https://lnkd.in/dpads35s📒 Journey on Machine Learning and Deep Learning                    : https://lnkd.in/d-aDKvq#66DaysOfData #machinelearning #deeplearning #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python #PyImageSearch",True
/feed/update/urn:li:activity:6858643401059921920/,"🏆 Day 293 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I                    have read and implemented from PyImageSearch Blogs. Here, I have read about OpenCV, Rotating Images,                    Image Preprocessing, Rotation Matrix and Center Coordinates, Image Parsing, Edge Detection and                    Contour Detection, Masking and Blurring Images and few more topics related to the same from here. I                    have also read about Baseline Model, Selecting and Training Model, Error Analysis and Prioritization                    from Machine Learning Engineering for Production Specialization of Coursera.📗                    Notebook:🔰 OpenCV: https://lnkd.in/d2GEb7fQ📈 I have presented the implementation of                    OpenCV in Rotating Images and Getting ROI of Images here in the snapshot. I hope you will gain some                    insights and work on the same. I hope you will also spend some time learning the topics from the                    Book mentioned below. Excited about the days ahead !!💻 PyImageSearch                    : https://lnkd.in/dXTR8cMZ📚 Machine Learning Engineering for Production                    : https://lnkd.in/dpads35s📒 Journey on Machine Learning and Deep Learning                    : https://lnkd.in/d-aDKvq#66DaysOfData #machinelearning #deeplearning #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python #PyImageSearch",True
/feed/update/urn:li:activity:6857932534915837952/,"🏆 Day 292 of #300DaysOfData!🎯 On my Journey of Machine Learning and Deep Learning, I                    have read and implemented from PyImageSearch Blogs. Here, I have read about OpenCV, Counting                    Objects, Converting Image to Grayscale, Edge Detection, Thresholding, Detecting and Drawing                    Contours, Erosions and Dilations, Masking and Bitwise Operations and few more topics related to the                    same from here. I have also read about Modeling Overview, Key Challenges and Low Average Error from                    Machine Learning Engineering for Production Specialization of Coursera.📗 Notebook:🔰                    OpenCV Notebook: https://lnkd.in/dmDhZAAz📈 I have presented the implementation of                    OpenCV in Converting Image to Grayscale, Edge Detection, Thresholding, Detecting and Drawing                    Contours, Erosions and Dilations here in the snapshot. I hope you will gain some insights and work                    on the same. I hope you will also spend some time learning the topics from the Book mentioned below.                    Excited about the days ahead !!💻 PyImageSearch : https://lnkd.in/dXTR8cMZ📚                    Machine Learning Engineering for Production : https://lnkd.in/dpads35s📒 Journey on Machine                    Learning and Deep Learning                    : https://lnkd.in/d-aDKvq#66DaysOfData #machinelearning #deeplearning #datascience #artificialintelligence #linkedincommunity #linkedinupdate #computervision #python #PyImageSearch",True
